trial_id,strategy,parameters,best_objective,best_objective_score,total_return_pct,buy_hold_return_pct,buy_hold_max_drawdown_pct,max_drawdown_pct,cagr_pct,sharpe_ratio,sortino_ratio,win_rate_pct,total_trades,profit_factor,recovery_factor,total_cost_pct,avg_cost_per_trade_pct,final_balance
34,GridTradingStrategyV2Aggressive,"{""allow_bear_breakout_sell"": 0, ""atr_mult"": 1.4921096994720244, ""breakout_slope_min"": 0.0027121615989886333, ""breakout_window"": 80, ""buy_spacing_mult_bear"": 1.2, ""center_lookback"": 20, ""cooldown_bars"": 5, ""fee_pct"": 0.0025, ""min_edge_pct"": 0.018305241836079796, ""min_step_pct"": 0.03638567900995521, ""min_strength"": 0.55, ""no_sell_above_ema_fast_in_bull"": true, ""num_grids"": 17, ""recenter_dwell_bars"": 6, ""recenter_threshold_pct"": 0.09286367149027504, ""sell_spacing_mult_bull"": 1.7171729411902041, ""side_when_bear"": 1, ""slippage_pct"": 0.01, ""strong_slope_min"": 0.0037650861237681714, ""timeframe_minutes"": 60, ""tol_buy_hi"": 0.019691160869758445, ""tol_buy_lo"": 0.012975715879856575, ""tol_sell_hi"": 0.01718493323879405, ""tol_sell_lo"": 0.01865282962221347, ""trail_atr_mult"": 2.0, ""trend_ema_fast"": 50, ""trend_ema_slow"": 243}",mar,5654912017.064821,565.4912017064822,257.9855518533454,-74.25863785643676,-45.62956647552152,252455.0784449866,6.1161878883476755,6.260605307594735,100.0,6,inf,12.39308732003505,110.28125096195929,18.380208493659882,6654.912017064823
246,CompositeMomentumIndexStrategy,"{""roc_period"": 5, ""rsi_period"": 21, ""signal_threshold"": 0.3635920986541098, ""tsi_long"": 25, ""tsi_short"": 17}",mar,5249758468.168701,524.9758468168701,257.9855518533454,-74.25863785643676,-59.45724260830691,194705.58892457746,5.801432596841485,5.011945914043233,83.33333333333334,6,10.837567293785915,8.829468434574268,147.39944413485716,24.566574022476193,6249.758468168701
15,Strategy_62_RSIAvgs,"{""ma_periods"": [5, 10, 20], ""overbought"": 86, ""oversold"": 23, ""rsi_period"": 14, ""signal_threshold"": 0.6}",mar,4945384256.7364435,494.5384256736443,257.9855518533454,-74.25863785643676,-58.62849708595543,158380.62536533998,4.906952200195339,6.090847694044419,66.66666666666666,3,22.172880404348756,8.435120295657587,92.15045049339153,30.71681683113051,5945.384256736444
24,GridTradingStrategyV2Aggressive,"{""allow_bear_breakout_sell"": false, ""atr_mult"": 0.6451458857690303, ""breakout_slope_min"": 0.004522852592889069, ""breakout_window"": 20, ""buy_spacing_mult_bear"": 1.3217494367004088, ""center_lookback"": 22, ""cooldown_bars"": 5, ""fee_pct"": 0.0025, ""min_edge_pct"": 0.02, ""min_step_pct"": 0.03138995967933857, ""min_strength"": 0.7335285218606389, ""no_sell_above_ema_fast_in_bull"": false, ""num_grids"": 19, ""recenter_dwell_bars"": 6, ""recenter_threshold_pct"": 0.24664210280383259, ""sell_spacing_mult_bull"": 1.2452201871765836, ""side_when_bear"": 1, ""slippage_pct"": 0.01, ""strong_slope_min"": 0.001, ""timeframe_minutes"": 60, ""tol_buy_hi"": 0.01717958936537279, ""tol_buy_lo"": 0.018669643328493586, ""tol_sell_hi"": 0.019784245686209356, ""tol_sell_lo"": 0.005, ""trail_atr_mult"": 2.1961662394058514, ""trend_ema_fast"": 44, ""trend_ema_slow"": 142}",mar,4908608977.315649,490.8608977315649,257.9855518533454,-74.25863785643676,-45.62956647552152,154367.8342660118,5.920806840637139,6.0660426776047425,100.0,3,inf,10.757518329587738,52.21793963645474,17.405979878818247,5908.608977315649
253,DonchianChampionAggressiveStrategy,"{""ema_exit_days"": 3.0409894417627505, ""entry_days"": 9.442715142776585, ""exit_days"": 1.4332677944058723, ""timeframe_minutes"": 5, ""trailing_drawdown_pct"": false}",mar,4864398479.4621315,486.43984794621315,257.9855518533454,-74.25863785643676,-31.31726227507241,149646.23328911013,7.519041163308151,4.904823762279844,100.0,2,inf,15.53264278574582,20.954931054881154,10.477465527440577,5864.398479462132
39,GridTradingStrategyV2Aggressive,"{""allow_bear_breakout_sell"": false, ""atr_mult"": 1.0, ""breakout_slope_min"": 0.0005, ""breakout_window"": 59, ""buy_spacing_mult_bear"": 1.5668783329986455, ""center_lookback"": 25, ""cooldown_bars"": 5, ""fee_pct"": 0.0025, ""min_edge_pct"": 0.02, ""min_step_pct"": 0.036593520144951666, ""min_strength"": 0.5602045778968203, ""no_sell_above_ema_fast_in_bull"": true, ""num_grids"": 12, ""recenter_dwell_bars"": 7, ""recenter_threshold_pct"": 0.08719234646927021, ""sell_spacing_mult_bull"": 1.2388454414269114, ""side_when_bear"": 0, ""slippage_pct"": 0.01, ""strong_slope_min"": 0.001, ""timeframe_minutes"": 60, ""tol_buy_hi"": 0.0023038201206214267, ""tol_buy_lo"": 0.01, ""tol_sell_hi"": 0.0050444540458154455, ""tol_sell_lo"": 0.007300100621759204, ""trail_atr_mult"": 1.1757140644511974, ""trend_ema_fast"": 50, ""trend_ema_slow"": 200}",mar,4863665410.555144,486.36654105551446,257.9855518533454,-74.25863785643676,-45.629566475521536,149568.87675243977,6.146710069828281,6.192794312831061,100.0,4,inf,10.659021740134897,77.76439424132805,19.441098560332012,5863.665410555144
228,DonchianChampionAggressiveStrategy,"{""ema_exit_days"": 3.643190137691801, ""entry_days"": 11.0, ""exit_days"": 1.5267304555674417, ""timeframe_minutes"": 5, ""trailing_drawdown_pct"": true}",mar,4725937291.414235,472.5937291414235,257.9855518533454,-74.25863785643676,-31.317347107769354,135563.91538260787,7.436449627872578,4.838479493257835,100.0,2,inf,15.090477731563038,20.496946830851613,10.248473415425806,5725.937291414235
58,DonchianChampionAggressiveStrategy,"{""ema_exit_days"": 3.0, ""entry_days"": 13.463752976892266, ""exit_days"": 1.5139137210497147, ""timeframe_minutes"": 5, ""trailing_drawdown_pct"": true}",mar,4725937291.414235,472.5937291414235,257.9855518533454,-74.25863785643676,-31.317347107769354,135563.91538260787,7.436449627872578,4.838479493257835,100.0,2,inf,15.090477731563038,20.496946830851613,10.248473415425806,5725.937291414235
208,DonchianChampionAggressiveStrategy,"{""ema_exit_days"": 3.0, ""entry_days"": 9.862470585609309, ""exit_days"": 2.0, ""timeframe_minutes"": 5, ""trailing_drawdown_pct"": false}",mar,4723103561.496681,472.3103561496681,257.9855518533454,-74.25863785643676,-32.97208191709924,135286.61893070032,7.403050708725991,4.837925272952492,100.0,2,inf,14.324553643205926,20.618580312798894,10.309290156399447,5723.103561496681
8,DonchianChampionAggressiveStrategy,"{""ema_exit_days"": 3.0, ""entry_days"": 9.063881645378327, ""exit_days"": 1.9494756731666036, ""timeframe_minutes"": 5, ""trailing_drawdown_pct"": false}",mar,4723103561.496681,472.3103561496681,257.9855518533454,-74.25863785643676,-32.97208191709924,135286.61893070032,7.403050708725991,4.837925272952492,100.0,2,inf,14.324553643205926,20.618580312798894,10.309290156399447,5723.103561496681
