step_index,strategy,train_start,train_end,holdout_start,holdout_end,trial_id,train_total_return_pct,train_buy_hold_return_pct,train_buy_hold_max_drawdown_pct,train_max_drawdown_pct,train_sharpe_ratio,train_total_trades,parameters,holdout_total_return_pct,holdout_buy_hold_return_pct,holdout_buy_hold_max_drawdown_pct,holdout_max_drawdown_pct,holdout_cagr_pct,holdout_num_trades,holdout_win_rate_pct,holdout_profit_factor,holdout_total_cost_pct,holdout_avg_cost_per_trade_pct,trade_log_path
0,CompositeMomentumIndexStrategy,2023-10-06T06:45:00+00:00,2024-01-04T06:45:00+00:00,2024-01-04T06:45:00+00:00,2024-02-03T06:45:00+00:00,131,113.3564849135532,-54.52553678507759,-77.03882976156171,-45.81322521814959,2.937061428958725,5,"{""roc_period"": 20, ""rsi_period"": 12, ""signal_threshold"": 0.0068227966807103075, ""tsi_long"": 38, ""tsi_short"": 17}",73.90115403173643,316.420359546884,-43.896783972211864,-15.463674996912758,94608.03574133321,3,100.0,inf,12.48295117511253,4.16098372503751,
0,Strategy_62_RSIAvgs,2023-10-06T06:45:00+00:00,2024-01-04T06:45:00+00:00,2024-01-04T06:45:00+00:00,2024-02-03T06:45:00+00:00,87,2.9360121990569477,-54.52553678507759,-77.03882976156171,-49.52875831271301,0.593133448086769,8,"{""ma_periods"": [5, 10, 20], ""overbought"": 62, ""oversold"": 30, ""rsi_period"": 37, ""signal_threshold"": 0.5254479489974134}",9.194937702457118,316.420359546884,-43.896783972211864,-12.020804506425819,197.28726546336324,2,100.0,inf,6.226596273826464,3.113298136913232,
0,GridTradingStrategyV2Aggressive,2023-10-06T06:45:00+00:00,2024-01-04T06:45:00+00:00,2024-01-04T06:45:00+00:00,2024-02-03T06:45:00+00:00,113,117.53764349913384,-54.52553678507759,-77.03882976156171,-37.852477360586136,3.539893720280481,5,"{""allow_bear_breakout_sell"": 1, ""atr_mult"": 1.0, ""breakout_slope_min"": 0.004573136507739534, ""breakout_window"": 78, ""buy_spacing_mult_bear"": 1.4243427177973151, ""center_lookback"": 20, ""cooldown_bars"": 5, ""fee_pct"": 0.0025, ""min_edge_pct"": 0.02, ""min_step_pct"": 0.020797326774104626, ""min_strength"": 0.796862788055122, ""no_sell_above_ema_fast_in_bull"": 1, ""num_grids"": 14, ""recenter_dwell_bars"": 15, ""recenter_threshold_pct"": 0.18855796952270448, ""sell_spacing_mult_bull"": 1.6677425971350242, ""side_when_bear"": 2, ""slippage_pct"": 0.01, ""strong_slope_min"": 0.003992006347321719, ""timeframe_minutes"": 60, ""tol_buy_hi"": 0.004739468506086523, ""tol_buy_lo"": 0.008224257256580957, ""tol_sell_hi"": 0.014867106997045458, ""tol_sell_lo"": 0.014113296399792655, ""trail_atr_mult"": 2.631540723757943, ""trend_ema_fast"": 50, ""trend_ema_slow"": 175}",68.71321054304869,316.420359546884,-43.896783972211864,-17.705643406987438,64983.23173078803,1,100.0,inf,4.001563247663014,4.001563247663014,
0,DonchianChampionAggressiveStrategy,2023-10-06T06:45:00+00:00,2024-01-04T06:45:00+00:00,2024-01-04T06:45:00+00:00,2024-02-03T06:45:00+00:00,119,23.68340391010346,-54.52553678507759,-77.03882976156171,-28.43787273260931,1.6874560208237537,7,"{""ema_exit_days"": 3.0, ""entry_days"": 5.570280953560194, ""exit_days"": 1.1855876964629788, ""timeframe_minutes"": 5, ""trailing_drawdown_pct"": 0.12061206164552296}",45.001681899038616,316.420359546884,-43.896783972211864,-26.34643759026115,9871.645078208287,6,66.66666666666666,5.508690123893701,19.958617435853647,3.3264362393089413,
0,CSMARevertStrategy,2023-10-06T06:45:00+00:00,2024-01-04T06:45:00+00:00,2024-01-04T06:45:00+00:00,2024-02-03T06:45:00+00:00,45,17.85738110668589,-54.52553678507759,-77.03882976156171,-12.599453613362854,2.074654169633129,6,"{""atr_mult"": 3.566556819720325, ""atr_period"": 49, ""entry_drop"": 0.25, ""exit_up"": 0.8674334707362573, ""n_sma"": 576, ""rsi_max"": 32.0, ""rsi_period"": 45, ""timeframe_minutes"": 5}",5.120968625951949,316.420359546884,-43.896783972211864,-8.797738447461146,85.62838428434718,1,100.0,inf,3.0612874048258307,3.0612874048258307,
1,CompositeMomentumIndexStrategy,2023-11-05T06:45:00+00:00,2024-02-03T06:45:00+00:00,2024-02-03T06:45:00+00:00,2024-03-04T06:45:00+00:00,31,1277.4392414757426,321.3318562731405,-65.4070592815265,-43.896783972211864,7.209960635481839,2,"{""roc_period"": 5, ""rsi_period"": 14, ""signal_threshold"": 0.21892918124755328, ""tsi_long"": 25, ""tsi_short"": 18}",0.0,-5.223468692923394,-40.41545802384597,0.0,0.0,0,0.0,0.0,0.0,0.0,
1,Strategy_62_RSIAvgs,2023-11-05T06:45:00+00:00,2024-02-03T06:45:00+00:00,2024-02-03T06:45:00+00:00,2024-03-04T06:45:00+00:00,197,496.5957328601454,321.3318562731405,-65.4070592815265,-65.4070592815265,4.917655047648524,2,"{""ma_periods"": [5, 10, 20], ""overbought"": 78, ""oversold"": 30, ""rsi_period"": 47, ""signal_threshold"": 0.23341618269801756}",0.0,-5.223468692923394,-40.41545802384597,0.0,0.0,0,0.0,0.0,0.0,0.0,
1,GridTradingStrategyV2Aggressive,2023-11-05T06:45:00+00:00,2024-02-03T06:45:00+00:00,2024-02-03T06:45:00+00:00,2024-03-04T06:45:00+00:00,148,376.69130320471646,321.3318562731405,-65.4070592815265,-65.4070592815265,4.2383751191410655,4,"{""allow_bear_breakout_sell"": 0, ""atr_mult"": 1.2274422257663296, ""breakout_slope_min"": 0.004493761503027647, ""breakout_window"": 15, ""buy_spacing_mult_bear"": 1.369451247313478, ""center_lookback"": 20, ""cooldown_bars"": 2, ""fee_pct"": 0.0025, ""min_edge_pct"": 0.029774648388433855, ""min_step_pct"": 0.03673823887528038, ""min_strength"": 0.6692490102820425, ""no_sell_above_ema_fast_in_bull"": 0, ""num_grids"": 19, ""recenter_dwell_bars"": 16, ""recenter_threshold_pct"": 0.12, ""sell_spacing_mult_bull"": 1.0420616161836984, ""side_when_bear"": 1, ""slippage_pct"": 0.01, ""strong_slope_min"": 0.0018691319136434825, ""timeframe_minutes"": 60, ""tol_buy_hi"": 0.002127582776128913, ""tol_buy_lo"": 0.01, ""tol_sell_hi"": 0.019594612139823175, ""tol_sell_lo"": 0.005, ""trail_atr_mult"": 2.605672842380522, ""trend_ema_fast"": 50, ""trend_ema_slow"": 200}",31.529002946507067,-5.223468692923394,-40.41545802384597,-13.006794383044474,3001.703389410153,6,100.0,inf,20.916518992351193,3.4860864987251987,
1,DonchianChampionAggressiveStrategy,2023-11-05T06:45:00+00:00,2024-02-03T06:45:00+00:00,2024-02-03T06:45:00+00:00,2024-03-04T06:45:00+00:00,174,192.7307435130649,321.3318562731405,-65.4070592815265,-38.6929972090453,4.737828456202053,7,"{""ema_exit_days"": 1.615807205387628, ""entry_days"": 7.537862847749487, ""exit_days"": 1.778842375692418, ""timeframe_minutes"": 5, ""trailing_drawdown_pct"": 0.2}",-10.200042380249986,-5.223468692923394,-40.41545802384597,-17.143216596710765,-74.03145248474708,1,0.0,0.0,2.834750706280827,2.834750706280827,
1,CSMARevertStrategy,2023-11-05T06:45:00+00:00,2024-02-03T06:45:00+00:00,2024-02-03T06:45:00+00:00,2024-03-04T06:45:00+00:00,125,15.839788942320698,321.3318562731405,-65.4070592815265,-6.461727943807293,2.855325016408641,3,"{""atr_mult"": 1.8, ""atr_period"": 48, ""entry_drop"": 0.25, ""exit_up"": 0.048, ""n_sma"": 576, ""rsi_max"": 36.110515769232826, ""rsi_period"": 21, ""timeframe_minutes"": 5}",0.0,-5.223468692923394,-40.41545802384597,0.0,0.0,0,0.0,0.0,0.0,0.0,
2,CompositeMomentumIndexStrategy,2023-12-05T06:45:00+00:00,2024-03-04T06:45:00+00:00,2024-03-04T06:45:00+00:00,2024-04-03T06:45:00+00:00,191,671.2865035649243,403.8592463648199,-47.423501282960125,-43.896783972211864,5.703179767141447,1,"{""roc_period"": 10, ""rsi_period"": 24, ""signal_threshold"": 0.06153806300107129, ""tsi_long"": 40, ""tsi_short"": 5}",0.0,131.88471376272096,-57.32863348841277,0.0,0.0,0,0.0,0.0,0.0,0.0,
2,Strategy_62_RSIAvgs,2023-12-05T06:45:00+00:00,2024-03-04T06:45:00+00:00,2024-03-04T06:45:00+00:00,2024-04-03T06:45:00+00:00,47,402.0704400596341,403.8592463648199,-47.423501282960125,-47.423501282960125,4.300554205910618,1,"{""ma_periods"": [5, 10, 20], ""overbought"": 103, ""oversold"": 48, ""rsi_period"": 11, ""signal_threshold"": 0.7427002941043613}",131.70440906590534,131.88471376272096,-57.32863348841277,-57.32863348841277,3360966.4430567403,1,100.0,inf,4.932952053857621,4.932952053857621,
