stage,trial_id,strategy,parameters,best_objective,best_objective_score,total_return_pct,buy_hold_return_pct,buy_hold_max_drawdown_pct,max_drawdown_pct,cagr_pct,sharpe_ratio,sortino_ratio,win_rate_pct,total_trades,profit_factor,recovery_factor,total_cost_pct,avg_cost_per_trade_pct,final_balance
1y,36,CompositeMomentumIndexStrategy,"{""roc_period"": 7, ""rsi_period"": 22, ""signal_threshold"": 0.8600933928219368, ""tsi_long"": 25, ""tsi_short"": 7}",mar,436891360886.35187,43689.13608863519,-24.21430939037421,-99.7381334979267,-90.90899942035836,45409.909452757216,3.7809072111873063,3.4000070581210284,62.5,16,21.379955865949125,480.5809806201799,26435.63976362899,1652.227485226812,437891.3608863519
all,156,CompositeMomentumIndexStrategy,"{""roc_period"": 5, ""rsi_period"": 16, ""signal_threshold"": 0.4701809377225606, ""tsi_long"": 21, ""tsi_short"": 16}",mar,262206071909.23328,26220.60719092333,200.10062012394803,-99.7381334979267,-92.6116319208964,1639.3892564673029,2.4225648421600803,2.360335491951868,56.52173913043478,23,9.871299855646145,283.1243402915034,16373.973842150948,711.911906180476,263206.0719092333
all,31,CompositeMomentumIndexStrategy,"{""roc_period"": 6, ""rsi_period"": 28, ""signal_threshold"": 0.3892892565032424, ""tsi_long"": 20, ""tsi_short"": 17}",mar,230938798815.83197,23093.8798815832,200.10062012394803,-99.7381334979267,-90.90899942035836,1530.230869042288,2.384346566224947,2.3469193526733223,57.14285714285714,7,25.72540732166852,254.03293435007825,4335.815458948731,619.4022084212473,231938.798815832
1y,76,CompositeMomentumIndexStrategy,"{""roc_period"": 10, ""rsi_period"": 18, ""signal_threshold"": 0.865756815457693, ""tsi_long"": 38, ""tsi_short"": 17}",mar,162961246425.2898,16296.12464252898,-24.21430939037421,-99.7381334979267,-90.90899942035836,16834.683291097703,3.4085257635503465,2.482347580561178,76.47058823529412,17,16.272848337157537,179.25755146832677,7480.993535827482,440.0584432839695,163961.2464252898
1y,11,CompositeMomentumIndexStrategy,"{""roc_period"": 5, ""rsi_period"": 16, ""signal_threshold"": 0.22424436938595976, ""tsi_long"": 38, ""tsi_short"": 12}",mar,150693130213.1121,15069.31302131121,-24.21430939037421,-99.7381334979267,-90.90899942035836,15559.854798769522,3.308154811853195,2.9310979066442906,71.42857142857143,14,18.292131745102193,165.76261005394537,8795.577378697153,628.2555270497967,151693.1302131121
all,46,CompositeMomentumIndexStrategy,"{""roc_period"": 10, ""rsi_period"": 18, ""signal_threshold"": 0.7, ""tsi_long"": 37, ""tsi_short"": 13}",mar,140739300259.99243,14073.930025999243,200.10062012394803,-99.7381334979267,-90.90899942035836,1166.5853018300088,2.2875648422690205,1.9746560647462732,68.0,25,7.879088658600916,154.81338608647687,10461.39849900495,418.455939960198,141739.30025999242
all,108,CSMARevertStrategy,"{""atr_floor_pct"": 0.6303870796541685, ""atr_mult"": 1.8, ""atr_period"": 16, ""entry_drop"": 0.25, ""exit_up"": 0.6913226339989342, ""n_sma"": 819, ""rsi_max"": 32.81480797374393, ""rsi_period"": 24, ""timeframe_minutes"": 5}",mar,83708853624.77708,8370.88536247771,200.10062012394803,-99.7381334979267,-94.11217589529332,872.8808054804812,2.270608631044613,1.9905090390619105,60.0,10,12.6462096900197,88.94582749623099,8936.609929461887,893.6609929461887,84708.8536247771
all,51,CompositeMomentumIndexStrategy,"{""roc_period"": 11, ""rsi_period"": 25, ""signal_threshold"": 0.7, ""tsi_long"": 25, ""tsi_short"": 7}",mar,78618405217.92986,7861.840521792986,200.10062012394803,-99.7381334979267,-90.90899942035836,842.4657628641963,2.1661450750371043,1.6265215160095148,66.66666666666666,21,7.908150573128761,86.48033277145923,4702.499744364752,223.92855925546436,79618.40521792986
all,106,CompositeMomentumIndexStrategy,"{""roc_period"": 10, ""rsi_period"": 23, ""signal_threshold"": 0.7, ""tsi_long"": 34, ""tsi_short"": 10}",mar,73902169471.59918,7390.216947159919,200.10062012394803,-99.7381334979267,-90.90899942035836,813.4286065039225,2.1466764579546713,1.5962654534391292,66.66666666666666,18,7.922921167560315,81.29246822955282,3685.2063559511303,204.73368644172945,74902.16947159919
all,166,CompositeMomentumIndexStrategy,"{""roc_period"": 12, ""rsi_period"": 29, ""signal_threshold"": 0.8781731992797538, ""tsi_long"": 22, ""tsi_short"": 13}",mar,60583124728.29154,6058.312472829154,200.10062012394803,-99.7381334979267,-90.90899942035836,726.2196761974831,2.080322043802909,1.7556014734195464,60.0,15,8.873047371623056,66.64150426753505,2745.1307198062727,183.00871465375153,61583.12472829154
all,36,CompositeMomentumIndexStrategy,"{""roc_period"": 10, ""rsi_period"": 25, ""signal_threshold"": 0.256615103071419, ""tsi_long"": 25, ""tsi_short"": 14}",mar,55859161892.22694,5585.916189222694,200.10062012394803,-99.7381334979267,-90.90899942035836,693.1068549192094,2.060921972748071,1.5770132582637242,66.66666666666666,15,8.228015015098894,61.445139918367325,1943.446210435284,129.5630806956856,56859.16189222693
