trial_id,strategy,parameters,score,total_return_pct,buy_hold_return_pct,buy_hold_max_drawdown_pct,max_drawdown_pct,cagr_pct,sharpe_ratio,sortino_ratio,total_trades,final_balance
140,GridTradingStrategyV2Aggressive,"{""allow_bear_breakout_sell"": 1, ""atr_mult"": 1.0, ""breakout_slope_min"": 0.0013418623286692167, ""breakout_window"": 30, ""buy_spacing_mult_bear"": 1.3425758925963986, ""center_lookback"": 26, ""cooldown_bars"": 2, ""fee_pct"": 0.0025, ""min_edge_pct"": 0.013808770673944492, ""min_step_pct"": 0.02181334832247992, ""min_strength"": 0.7535573114623166, ""no_sell_above_ema_fast_in_bull"": 0, ""num_grids"": 15, ""recenter_dwell_bars"": 10, ""recenter_threshold_pct"": 0.12, ""sell_spacing_mult_bull"": 1.1421195837622427, ""side_when_bear"": 1, ""slippage_pct"": 0.01, ""strong_slope_min"": 0.007811349072613549, ""timeframe_minutes"": 60, ""tol_buy_hi"": 0.019910772068035196, ""tol_buy_lo"": 0.016426656768624856, ""tol_sell_hi"": 0.011594239379755957, ""tol_sell_lo"": 0.016734310345485868, ""trail_atr_mult"": 3.0636968774700994, ""trend_ema_fast"": 52, ""trend_ema_slow"": 123}",78.14,336.1585318117417,257.9855518533454,-74.25863785643676,-14.643833359948077,43944.352846168425,8.851323345552894,3.3779979186442444,5,4361.585318117417
113,DonchianChampionAggressiveStrategy,"{""ema_exit_days"": 3.0, ""entry_days"": 10.957294895887635, ""exit_days"": 2.2612516130876568, ""timeframe_minutes"": 5, ""trailing_drawdown_pct"": 0.18241931280076062}",74.16,432.78614735509456,257.9855518533454,-74.25863785643676,-22.687554325775583,100620.0410779599,7.819486437089944,4.6291892359798075,3,5327.861473550945
98,DonchianChampionAggressiveStrategy,"{""ema_exit_days"": 2.914960957600903, ""entry_days"": 15.110614229693134, ""exit_days"": 2.0, ""timeframe_minutes"": 5, ""trailing_drawdown_pct"": 0.2}",72.9,399.4213246935123,257.9855518533454,-74.25863785643676,-25.203546459989155,76995.06313197926,7.329770472479058,4.458740936322902,3,4994.213246935124
48,DonchianChampionAggressiveStrategy,"{""ema_exit_days"": 4.183468358496247, ""entry_days"": 9.150421289809463, ""exit_days"": 2.0, ""timeframe_minutes"": 5, ""trailing_drawdown_pct"": 0.2}",72.9,411.4997107500585,257.9855518533454,-74.25863785643676,-25.20306093547652,84998.91426159599,7.417582647125789,4.525388833405339,3,5114.997107500585
115,GridTradingStrategyV2Aggressive,"{""allow_bear_breakout_sell"": 0, ""atr_mult"": 0.9282067082529784, ""breakout_slope_min"": 0.004133765385419537, ""breakout_window"": 50, ""buy_spacing_mult_bear"": 1.7336880154372358, ""center_lookback"": 20, ""cooldown_bars"": 3, ""fee_pct"": 0.0025, ""min_edge_pct"": 0.00953676652156977, ""min_step_pct"": 0.01765230017016338, ""min_strength"": 0.5024100259638968, ""no_sell_above_ema_fast_in_bull"": 1, ""num_grids"": 12, ""recenter_dwell_bars"": 6, ""recenter_threshold_pct"": 0.16137598760944405, ""sell_spacing_mult_bull"": 1.0135864720867045, ""side_when_bear"": 2, ""slippage_pct"": 0.01, ""strong_slope_min"": 0.00457792917952583, ""timeframe_minutes"": 60, ""tol_buy_hi"": 0.0092471424441908, ""tol_buy_lo"": 0.019246548800120333, ""tol_sell_hi"": 0.012466885041183633, ""tol_sell_lo"": 0.018089188118271045, ""trail_atr_mult"": 2.0, ""trend_ema_fast"": 34, ""trend_ema_slow"": 255}",72.83,66.74117951431467,257.9855518533454,-74.25863785643676,-9.956316332872461,727.53525753302,5.6823074313240225,1.5696498257304272,2,1667.4117951431467
168,DonchianChampionAggressiveStrategy,"{""ema_exit_days"": 3.5509479929685064, ""entry_days"": 11.251510216804654, ""exit_days"": 2.7038602306616553, ""timeframe_minutes"": 5, ""trailing_drawdown_pct"": 0.2}",72.82,398.4397068900206,257.9855518533454,-74.25863785643676,-25.350531546571442,76370.65403748145,7.315633082633649,4.449233927478531,3,4984.397068900206
198,DonchianChampionAggressiveStrategy,"{""ema_exit_days"": 1.760950475884568, ""entry_days"": 8.856721977607998, ""exit_days"": 2.3097707790678905, ""timeframe_minutes"": 5, ""trailing_drawdown_pct"": 0.2}",72.82,410.4943638201749,257.9855518533454,-74.25863785643676,-25.350046022058812,84309.68786088667,7.403410035474526,4.515816072289304,3,5104.943638201748
193,DonchianChampionAggressiveStrategy,"{""ema_exit_days"": 3.0, ""entry_days"": 11.0, ""exit_days"": 2.7566564674094973, ""timeframe_minutes"": 5, ""trailing_drawdown_pct"": 0.2}",72.82,398.4397068900206,257.9855518533454,-74.25863785643676,-25.350531546571442,76370.65403748145,7.315633082633649,4.449233927478531,3,4984.397068900206
50,GridTradingStrategyV2Aggressive,"{""allow_bear_breakout_sell"": 0, ""atr_mult"": 1.4068223804522664, ""breakout_slope_min"": 0.0005, ""breakout_window"": 45, ""buy_spacing_mult_bear"": 1.2, ""center_lookback"": 34, ""cooldown_bars"": 5, ""fee_pct"": 0.0025, ""min_edge_pct"": 0.02, ""min_step_pct"": 0.014287931971585816, ""min_strength"": 0.782788314899728, ""no_sell_above_ema_fast_in_bull"": 1, ""num_grids"": 19, ""recenter_dwell_bars"": 13, ""recenter_threshold_pct"": 0.24885829371451718, ""sell_spacing_mult_bull"": 1.160535900950362, ""side_when_bear"": 2, ""slippage_pct"": 0.01, ""strong_slope_min"": 0.005627477024895718, ""timeframe_minutes"": 60, ""tol_buy_hi"": 0.013145231642244987, ""tol_buy_lo"": 0.009375195085588517, ""tol_sell_hi"": 0.01, ""tol_sell_lo"": 0.005, ""trail_atr_mult"": 3.2303661969038084, ""trend_ema_fast"": 36, ""trend_ema_slow"": 243}",72.29,51.20315496785952,257.9855518533454,-74.25863785643676,-9.860376349506229,452.32206163237316,5.488472175258736,1.09370806713505,2,1512.0315496785952
35,GridTradingStrategyV2Aggressive,"{""allow_bear_breakout_sell"": 1, ""atr_mult"": 1.4289865164645654, ""breakout_slope_min"": 0.003301563807506428, ""breakout_window"": 43, ""buy_spacing_mult_bear"": 1.1511593741945154, ""center_lookback"": 20, ""cooldown_bars"": 3, ""fee_pct"": 0.0025, ""min_edge_pct"": 0.013389426061102778, ""min_step_pct"": 0.02, ""min_strength"": 0.5612426715688619, ""no_sell_above_ema_fast_in_bull"": 1, ""num_grids"": 12, ""recenter_dwell_bars"": 10, ""recenter_threshold_pct"": 0.12, ""sell_spacing_mult_bull"": 1.6962894569485891, ""side_when_bear"": 2, ""slippage_pct"": 0.01, ""strong_slope_min"": 0.005802830637925043, ""timeframe_minutes"": 60, ""tol_buy_hi"": 0.016029715793964304, ""tol_buy_lo"": 0.019248147270741558, ""tol_sell_hi"": 0.00880506511979405, ""tol_sell_lo"": 0.005, ""trail_atr_mult"": 3.12563709530133, ""trend_ema_fast"": 45, ""trend_ema_slow"": 290}",71.91,40.27672538269786,257.9855518533454,-74.25863785643676,-9.86037634950624,305.0855243872741,5.103127959510243,0.9163095832122206,2,1402.7672538269787
