"trend","start","end","hours","start_price","end_price","pct_change","avg_log_slope"
"downtrend","2023-10-06 18:00:00+00:00","2023-10-07 13:00:00+00:00","20","0.001063054749","0.000883623278","-16.878855127596","-0.010664237304"
"range","2023-10-07 14:00:00+00:00","2023-10-07 23:00:00+00:00","10","0.000878372710","0.000841993907","-4.141613531839","0.000000000000"
"uptrend","2023-10-08 00:00:00+00:00","2023-10-08 07:00:00+00:00","8","0.000841931518","0.001011033330","20.084984210029","0.013146706058"
"range","2023-10-08 08:00:00+00:00","2023-10-08 16:00:00+00:00","9","0.001011792932","0.000995355416","-1.624592960359","0.000000000000"
"downtrend","2023-10-08 17:00:00+00:00","2023-10-09 02:00:00+00:00","10","0.000995356574","0.000892023294","-10.381533877883","-0.007896715573"
"range","2023-10-09 03:00:00+00:00","2023-10-09 20:00:00+00:00","18","0.000896745897","0.000883206572","-1.509828411977","0.000000000000"
"uptrend","2023-10-09 21:00:00+00:00","2023-10-10 06:00:00+00:00","10","0.000883075553","0.000942600590","6.740650553545","0.004609074413"
"range","2023-10-10 07:00:00+00:00","2023-10-11 19:00:00+00:00","37","0.000942003033","0.000917352612","-2.616809110750","0.000000000000"
"uptrend","2023-10-11 20:00:00+00:00","2023-10-11 23:00:00+00:00","4","0.000917367216","0.000953794410","3.970841046729","0.004589503032"
"range","2023-10-12 00:00:00+00:00","2023-10-12 10:00:00+00:00","11","0.000953308253","0.000959197049","0.617722114401","0.000000000000"
"downtrend","2023-10-12 11:00:00+00:00","2023-10-12 20:00:00+00:00","10","0.000959244820","0.000889856434","-7.233647132426","-0.006709481377"
"range","2023-10-12 21:00:00+00:00","2023-10-12 23:00:00+00:00","3","0.000890630353","0.000845946290","-5.017127781723","0.000000000000"
"downtrend","2023-10-13 00:00:00+00:00","2023-10-13 00:00:00+00:00","1","0.000845950742","0.000859090195","1.553217269901","-0.005589431028"
"range","2023-10-13 01:00:00+00:00","2023-10-13 01:00:00+00:00","1","0.000858914891","0.000858209046","-0.082178675497","0.000000000000"
"downtrend","2023-10-13 02:00:00+00:00","2023-10-13 08:00:00+00:00","7","0.000864738829","0.000828393682","-4.203020132780","-0.008973024854"
"range","2023-10-13 09:00:00+00:00","2023-10-13 20:00:00+00:00","12","0.000823711269","0.000808889405","-1.799400399405","0.000000000000"
"uptrend","2023-10-13 21:00:00+00:00","2023-10-13 22:00:00+00:00","2","0.000808791656","0.000818022910","1.141363660638","0.006020461705"
"range","2023-10-13 23:00:00+00:00","2023-10-14 07:00:00+00:00","9","0.000817997080","0.000821860542","0.472307595678","0.000000000000"
"downtrend","2023-10-14 08:00:00+00:00","2023-10-14 20:00:00+00:00","13","0.000817082031","0.000719155438","-11.984915790708","-0.009182695229"
"range","2023-10-14 21:00:00+00:00","2023-10-15 10:00:00+00:00","14","0.000718390397","0.000693390765","-3.479950802255","0.000000000000"
"uptrend","2023-10-15 11:00:00+00:00","2023-10-15 15:00:00+00:00","5","0.000693470771","0.000715380070","3.159368829016","0.004897023171"
"range","2023-10-15 16:00:00+00:00","2023-10-16 09:00:00+00:00","18","0.000715143200","0.000737042726","3.062257384548","0.000000000000"
"uptrend","2023-10-16 10:00:00+00:00","2023-10-16 19:00:00+00:00","10","0.000732857762","0.000911752105","24.410513488076","0.008666301597"
"range","2023-10-16 20:00:00+00:00","2023-10-17 05:00:00+00:00","10","0.000911408456","0.000864785221","-5.115514921572","0.000000000000"
"downtrend","2023-10-17 06:00:00+00:00","2023-10-17 18:00:00+00:00","13","0.000869699448","0.000786815965","-9.530129424221","-0.004666668813"
"range","2023-10-17 19:00:00+00:00","2023-10-17 20:00:00+00:00","2","0.000785671423","0.000752000419","-4.285634333464","0.000000000000"
"downtrend","2023-10-17 21:00:00+00:00","2023-10-17 23:00:00+00:00","3","0.000744931520","0.000761907368","2.278846735799","-0.003722269223"
"range","2023-10-18 00:00:00+00:00","2023-10-18 11:00:00+00:00","12","0.000759031042","0.000775589443","2.181518247298","0.000000000000"
"downtrend","2023-10-18 12:00:00+00:00","2023-10-18 19:00:00+00:00","8","0.000772164690","0.000715880062","-7.289200001148","-0.004487113210"
"range","2023-10-18 20:00:00+00:00","2023-10-19 05:00:00+00:00","10","0.000711930924","0.000707861756","-0.571567691552","0.000000000000"
"uptrend","2023-10-19 06:00:00+00:00","2023-10-20 11:00:00+00:00","30","0.000707686703","0.000997237241","40.915073888824","0.008765214826"
"range","2023-10-20 12:00:00+00:00","2023-10-20 21:00:00+00:00","10","0.000995658910","0.000940335687","-5.556443383163","0.000000000000"
"downtrend","2023-10-20 22:00:00+00:00","2023-10-21 04:00:00+00:00","7","0.000944811621","0.000916330531","-3.014472813984","-0.007239099737"
"range","2023-10-21 05:00:00+00:00","2023-10-21 22:00:00+00:00","18","0.000915716978","0.000824658568","-9.943946906056","0.000000000000"
"downtrend","2023-10-21 23:00:00+00:00","2023-10-22 07:00:00+00:00","9","0.000824628789","0.000814773968","-1.195061506455","-0.006274159068"
"range","2023-10-22 08:00:00+00:00","2023-10-25 09:00:00+00:00","74","0.000814264658","0.000828062228","1.694482179532","0.000000000000"
"downtrend","2023-10-25 10:00:00+00:00","2023-10-26 09:00:00+00:00","24","0.000828980050","0.000747063975","-9.881549574370","-0.004768556278"
"range","2023-10-26 10:00:00+00:00","2023-10-27 02:00:00+00:00","17","0.000749701727","0.000715707499","-4.534366998891","0.000000000000"
"downtrend","2023-10-27 03:00:00+00:00","2023-10-27 14:00:00+00:00","12","0.000714893794","0.000564424723","-21.047751748738","-0.012290096966"
"range","2023-10-27 15:00:00+00:00","2023-10-27 23:00:00+00:00","9","0.000565118170","0.000599020408","5.999141502269","0.000000000000"
"uptrend","2023-10-28 00:00:00+00:00","2023-10-28 00:00:00+00:00","1","0.000598663931","0.000604643493","0.998817808017","0.004659691173"
"range","2023-10-28 01:00:00+00:00","2023-10-28 07:00:00+00:00","7","0.000600113599","0.000629457096","4.889657142991","0.000000000000"
"downtrend","2023-10-28 08:00:00+00:00","2023-10-29 02:00:00+00:00","19","0.000625894220","0.000454499790","-27.383929183604","-0.010761820810"
"range","2023-10-29 03:00:00+00:00","2023-10-30 05:00:00+00:00","27","0.000453978093","0.000504461673","11.120267732499","0.000000000000"
"uptrend","2023-10-30 06:00:00+00:00","2023-10-31 04:00:00+00:00","23","0.000504451424","0.000633226538","25.527753077187","0.009390941052"
"range","2023-10-31 05:00:00+00:00","2023-10-31 20:00:00+00:00","16","0.000636916065","0.000621421882","-2.432688461679","0.000000000000"
"downtrend","2023-10-31 21:00:00+00:00","2023-11-01 09:00:00+00:00","13","0.000621667550","0.000592975545","-4.615329465857","-0.003045239159"
"range","2023-11-01 10:00:00+00:00","2023-11-01 16:00:00+00:00","7","0.000592925679","0.000587309923","-0.947126392426","0.000000000000"
"uptrend","2023-11-01 17:00:00+00:00","2023-11-01 18:00:00+00:00","2","0.000590617618","0.000589390197","-0.207819892569","0.003354703769"
"range","2023-11-01 19:00:00+00:00","2023-11-02 07:00:00+00:00","13","0.000589377024","0.000584982674","-0.745592294687","0.000000000000"
"downtrend","2023-11-02 08:00:00+00:00","2023-11-02 21:00:00+00:00","14","0.000580328023","0.000534009880","-7.981372940945","-0.005514531022"
